"state" "County" "Margin2020" "votes" "counted"
"Arkansas" "Sharp" -60 7566 98
"Arkansas" "Poinsett" -60 7521 98
"Arkansas" "Marion" -57 7503 98
"Arkansas" "Madison" -56 7351 98
"Arkansas" "Franklin" -61 7129 98
"Arkansas" "Saint Francis" 5 7108 98
"Arkansas" "Cross" -46 6942 98
"Arkansas" "Drew" -28 6908 98
"Arkansas" "Hempstead" -34 6848 98
"Arkansas" "Randolph" -61 6812 98
"Arkansas" "Yell" -58 6741 98
"Arkansas" "Arkansas" -40 6292 98
"Arkansas" "Phillips" 19 6242 98
"Arkansas" "Stone" -58 5938 98
"Arkansas" "Lawrence" -60 5857 98
"Arkansas" "Izard" -62 5810 98
"Arkansas" "Sevier" -53 5202 98
"Arkansas" "Clay" -60 5183 98
"Arkansas" "Little River" -48 5177 98
"Arkansas" "Fulton" -57 5119 98
"Arkansas" "Jackson" -44 5091 98
"Arkansas" "Howard" -42 4834 98
"Arkansas" "Perry" -53 4627 98
"Arkansas" "Pike" -68 4246 98
"Arkansas" "Desha" 2 4164 98
"Arkansas" "Chicot" 12 4103 98
"Arkansas" "Searcy" -69 4019 98
"Arkansas" "Newton" -62 3998 98
"Arkansas" "Lincoln" -44 3875 98
"Arkansas" "Montgomery" -60 3873 98
"Arkansas" "Bradley" -31 3654 98
"Arkansas" "Cleveland" -62 3600 98
"Arkansas" "Scott" -70 3551 98
"Arkansas" "Prairie" -61 3495 98
"Arkansas" "Nevada" -31 3358 98
"Arkansas" "Lee" 5 2848 98
"Arkansas" "Monroe" -14 2816 98
"Arkansas" "Lafayette" -34 2679 98
"Arkansas" "Dallas" -23 2649 98
"Arkansas" "Woodruff" -28 2476 98
"Arkansas" "Calhoun" -53 2182 98
"California" "Sierra" -21 1930 93
"California" "Butte" 1.7 102042 94
"California" "San Francisco" 73 443458 96
"California" "Modoc" -45 4338 96
"California" "Trinity" -5 6258 97
"California" "Marin" 67 155801 98
"California" "Los Angeles" 44 4263443 98
"California" "San Diego" 23 1601722 98
"California" "Orange" 9 1521725 98
"California" "Riverside" 8 996156 98
"California" "Santa Clara" 47 850522 98
"California" "San Bernardino" 11 840931 98
"California" "Alameda" 63 769864 98
"California" "Sacramento" 25 718290 98
"California" "Contra Costa" 45 581230 98
"California" "Ventura" 21 422698 98
"California" "San Mateo" 58 374138 98
"California" "Fresno" 8 364809 98
"California" "Kern" -10 305226 98
"California" "San Joaquin" 14 288443 98
"California" "Sonoma" 51 268252 98
"California" "Placer" -7 235017 98
"California" "Stanislaus" 0.79 214876 98
"California" "Solano" 30 205831 98
"California" "Santa Barbara" 32 200288 98
"California" "Monterey" 41 163883 98
"California" "San Luis Obispo" 13 159681 98
"California" "Tulare" -8 146832 98
"California" "Santa Cruz" 60 144796 98
"California" "El Dorado" -9 116138 98
"California" "Yolo" 41 97264 98
"California" "Shasta" -33 92900 98
"California" "Merced" 11 90541 98
"California" "Napa" 40 72122 98
"California" "Humboldt" 33 68828 98
"California" "Nevada" 15 64738 98
"California" "Imperial" 24 56718 98
"California" "Madera" -12 53722 98
"California" "Kings" -12 43858 98
"California" "Mendocino" 36 43336 98
"California" "Sutter" -16 42640 98
"California" "Tuolumne" -19 30401 98
"California" "Yuba" -22 29787 98
"California" "San Benito" 24 28821 98
"California" "Lake" 6 28800 98
"California" "Tehama" -36 28721 98
"California" "Calaveras" -24 27164 98
"California" "Siskiyou" -16 23450 98
"California" "Amador" -24 22302 98
"California" "Lassen" -51 11985 98
"California" "Del Norte" -16 11452 98
"California" "Glenn" -27 11292 98
"California" "Plumas" -17 11256 98
"California" "Mariposa" -18 10280 98
"California" "Inyo" 0.15 9481 98
"California" "Colusa" -17 7951 98
"California" "Mono" 22 6737 98
"California" "Alpine" 31 741 98
"Colorado" "Denver" 61 393827 98
"Colorado" "El Paso" -11 378849 98
"Colorado" "Jefferson" 19 377357 98
"Colorado" "Arapahoe" 25 350183 98
"Colorado" "Adams" 16 236735 98
"Colorado" "Douglas" -7 231599 98
"Colorado" "Larimer" 15 224338 98
"Colorado" "Boulder" 57 206111 98
"Colorado" "Weld" -18 166968 98
"Colorado" "Mesa" -28 90622 98
"Colorado" "Pueblo" 1.7 88299 98
"Colorado" "Broomfield" 27 46632 98
"Colorado" "La Plata" 18 35667 98
"Colorado" "Garfield" 2 30904 98
"Colorado" "Eagle" 30 29140 98
"Colorado" "Fremont" -40 25557 98
"Colorado" "Montrose" -36 24922 98
"Colorado" "Delta" -37 19370 98
"Colorado" "Elbert" -50 18983 98
"Colorado" "Summit" 40 18479 98
"Colorado" "Teller" -35 16939 98
"Colorado" "Routt" 28 16876 98
"Colorado" "Montezuma" -22 15500 98
"Colorado" "Morgan" -42 13744 98
"Colorado" "Chaffee" 7 13717 98
"Colorado" "Park" -17 12290 98
"Colorado" "Pitkin" 52 11957 98
"Colorado" "Gunnison" 31 10887 98
"Colorado" "Logan" -56 10532 98
"Colorado" "Grand" -1.8 9870 98
"Colorado" "Otero" -22 9576 98
"Colorado" "Archuleta" -16 9144 98
"Colorado" "Las Animas" -10 7961 98
"Colorado" "Alamosa" -0.69 7808 98
"Colorado" "Moffat" -64 7026 98
"Colorado" "Clear Creek" 13 6548 98
"Colorado" "Rio Grande" -18 6305 98
"Colorado" "Prowers" -46 5561 98
"Colorado" "San Miguel" 54 5147 98
"Colorado" "Yuma" -67 4981 98
"Colorado" "Huerfano" -3 4406 98
"Colorado" "Conejos" -8 4333 98
"Colorado" "Gilpin" 9 4186 98
"Colorado" "Ouray" 20 4020 98
"Colorado" "Lake" 20 3961 98
"Colorado" "Kit Carson" -64 3871 98
"Colorado" "Rio Blanco" -68 3691 98
"Colorado" "Custer" -37 3634 98
"Colorado" "Saguache" 14 3389 98
"Colorado" "Washington" -74 3008 98
"Colorado" "Lincoln" -63 2651 98
"Colorado" "Phillips" -59 2485 98
"Colorado" "Bent" -34 2274 98
"Colorado" "Baca" -70 2225 98
"Colorado" "Costilla" 27 2094 98
"Colorado" "Crowley" -48 1750 98
"Colorado" "Dolores" -52 1449 98
"Colorado" "Sedgwick" -57 1446 98
"Colorado" "Cheyenne" -76 1136 98
"Colorado" "Kiowa" -77 903 98
"Colorado" "Jackson" -58 876 98
"Colorado" "Mineral" -15 756 98
"Colorado" "Hinsdale" -16 632 98
"Colorado" "San Juan" 25 563 98
"Connecticut" "Stamford" 37 59412 98
"Connecticut" "Norwalk" 37 43219 98
"Connecticut" "Bridgeport" 60 42188 98
"Connecticut" "New Haven" 70 42102 98
"Connecticut" "West Hartford" 52 36294 98
"Connecticut" "Greenwich" 25 36112 98
"Connecticut" "Waterbury" 21 36107 98
"Connecticut" "Fairfield" 31 35414 98
"Connecticut" "Hartford" 74 32687 98
"Connecticut" "Milford" 11 32062 98
"Connecticut" "Danbury" 19 32021 98
"Connecticut" "Bristol" 5 29799 98
"Connecticut" "Hamden" 50 29104 98
"Connecticut" "Manchester" 38 28466 98
"Connecticut" "Stratford" 24 28194 98
"Connecticut" "Southington" -2 26718 98
"Connecticut" "Wallingford" 7 25785 98
"Connecticut" "Meriden" 20 25326 98
"Connecticut" "New Britain" 35 24071 98
"Connecticut" "Shelton" -8 23892 98
"Connecticut" "Middletown" 34 23509 98
"Connecticut" "West Haven" 27 22605 98
"Connecticut" "Glastonbury" 27 22374 98
"Connecticut" "Trumbull" 10 22002 98
"Connecticut" "Enfield" 9 20929 98
"Connecticut" "East Hartford" 45 20607 98
"Connecticut" "Branford" 19 17913 98
"Connecticut" "Westport" 50 17538 98
"Connecticut" "Windsor" 52 17514 98
"Connecticut" "Cheshire" 14 17435 98
"Connecticut" "Groton" 25 17389 98
"Connecticut" "Newington" 17 17355 98
"Connecticut" "Newtown" 14 17269 98
"Connecticut" "Torrington" -12 16824 98
"Connecticut" "Wethersfield" 20 16277 98
"Connecticut" "Ridgefield" 28 16245 98
"Connecticut" "Simsbury" 29 16174 98
"Connecticut" "Farmington" 22 16037 98
"Connecticut" "New Milford" 3 15734 98
"Connecticut" "South Windsor" 26 15523 98
"Connecticut" "North Haven" -3 15447 98
"Connecticut" "Vernon" 22 15400 98
"Connecticut" "Norwich" 24 15290 98
"Connecticut" "Naugatuck" -5 14904 98
"Connecticut" "Guilford" 31 14867 98
"Connecticut" "East Haven" -6 14501 98
"Connecticut" "Darien" 23 13018 98
"Connecticut" "Southbury" 2 12990 98
"Connecticut" "Berlin" -5 12873 98
"Connecticut" "Bloomfield" 73 12821 98
"Connecticut" "Watertown" -26 12754 98
"Connecticut" "Madison" 24 12437 98
"Connecticut" "New Canaan" 20 12365 98
"Connecticut" "Waterford" 15 12316 98
